FEATUREID,ro2d_in
24254849,1.61
24270284,0.70
24270286,0.71
24270288,0.71
24270290,0.73
24270292,0.74
24270294,0.77
24270296,0.78
24270298,0.77
24270300,0.77
24270302,0.77
24270304,0.76
24270306,0.77
24270308,0.77
24270310,0.76
24270312,0.78
24270314,0.80
24270316,0.83
24270318,0.78
24270320,0.78
24270322,0.79
24270324,0.78
24270326,0.77
24270328,0.75
24270330,0.74
24270332,0.75
24270334,0.80
24270336,0.75
24270338,0.80
24270340,0.84
24270342,0.85
24270344,0.85
24270346,0.89
24270348,1.06
24270350,1.27
24270352,1.69
24270354,2.38
24270356,0.80
24270358,0.79
24270360,0.81
24270362,0.83
24270364,0.83
24270366,0.84
24270368,0.84
24270370,0.84
24270372,0.90
24270374,0.91
24270376,0.91
24270378,0.93
24270380,0.93
24270382,0.92
24270384,0.91
24270386,1.07
24270388,1.17
24270390,0.93
24270392,0.95
24270394,0.88
24270396,0.91
24270398,0.94
24270400,1.05
24270402,1.01
24270404,1.00
24270408,0.99
24270410,0.99
24270412,1.16
24270414,1.81
24270416,1.93
24270418,1.98
24270420,2.07
24270422,2.16
24270424,2.21
24270426,2.28
24270428,2.22
24270430,2.35
24270432,2.43
24270434,2.20
24270436,2.25
24270438,1.03
24270440,1.12
24270442,1.04
24270444,1.04
24270446,1.01
24270448,1.09
24270450,1.40
24270452,1.22
24270454,1.16
24270456,1.19
24270458,1.37
24270460,1.44
24270462,2.30
24270464,1.98
24270466,1.78
24270468,1.89
24270470,1.97
24270472,1.69
24270474,1.80
24270476,1.76
24270478,2.12
24270480,2.64
24270482,1.72
24270484,1.68
24270486,1.87
24270512,1.62
24270514,1.67
24270516,1.46
24270518,1.62
24270532,1.63
24270534,1.35
24270536,1.83
24270538,0.72
24270540,0.71
24270544,1.37
24270546,1.73
24270548,2.19
24270550,2.46
24270552,0.91
24270554,0.91
24270556,1.00
24270558,0.95
24270560,0.97
24270562,1.81
24270564,1.05
24270566,1.20
24270568,1.54
24270570,1.67
24270572,1.69
24270574,1.82
24270576,2.32
24270578,0.94
24270580,0.95
24270584,0.94
24270586,1.53
24270588,1.83
24270590,2.40
24270594,1.04
24270596,1.03
24270598,1.12
24270600,1.36
24270602,1.48
24270604,2.13
24270606,2.20
24270608,2.26
24270610,2.32
24270612,2.52
24270614,2.57
24270616,2.51
24270618,0.88
24270620,1.15
24270622,0.86
24270624,0.83
24270626,0.83
24270628,0.88
24270630,1.00
24270632,1.68
24270634,1.71
24270636,1.99
24270640,1.60
24270642,1.55
24270644,2.01
24270646,2.03
24270648,1.57
24270652,1.10
24270656,1.16
24270658,1.87
24270660,1.33
24270664,1.21
24270666,1.29
24270670,1.44
24270672,1.17
24270674,1.26
24270680,1.13
24270682,1.15
24270684,1.07
24270686,1.16
24270688,1.15
24270690,1.56
24270692,1.09
24270694,1.13
24270696,1.18
24270698,0.95
24270700,0.94
24270702,1.01
24270704,0.84
24270706,0.91
24270708,0.83
24270710,0.96
24270712,1.04
24270714,0.78
24270716,0.79
24270718,1.18
24270720,1.19
24270722,2.07
24270724,1.54
24270728,1.72
24270730,1.58
24270734,0.85
24270736,0.96
24270738,0.73
24270740,1.92
24270742,1.77
24270744,2.01
24270746,1.85
24270748,1.94
24270750,1.53
24270752,1.54
24270754,0.75
24270756,1.98
24270758,0.90
24270760,0.72
24270762,0.70
24270764,2.04
24270766,2.06
24270768,2.04
24270774,2.07
24270776,0.74
24270778,2.14
24270780,2.29
24270782,2.20
24270784,2.31
24270786,1.28
24270788,2.63
24270790,0.88
24270794,2.45
24270796,1.31
24270798,2.26
24270800,2.48
24270804,2.42
24270806,2.39
24270808,2.50
24270810,1.09
24270818,2.63
24270824,0.81
24270826,1.55
24270828,1.71
24270830,0.93
24270832,2.53
24270834,2.34
24270842,1.06
24270844,2.47
24270846,2.21
24270848,0.96
24270850,1.94
24270852,1.54
24270856,1.12
24270862,1.72
24270868,2.41
24270870,1.61
24270878,1.02
24270882,1.32
24270884,0.80
24270900,0.92
24270916,1.12
24270940,0.83
24270946,0.79
24270976,0.81
24270988,0.80
24271002,0.77
24271006,0.80
24271032,0.76
24271050,0.95
24271052,0.97
24271054,0.92
24271056,0.95
24271058,0.88
24271060,1.10
24271062,1.14
24271064,0.77
24271066,1.85
24271070,1.08
24271072,0.88
24271074,1.31
24271076,1.15
24271078,1.04
24271080,0.90
24271084,0.94
24271086,0.91
24271088,2.37
24271090,0.76
24271092,0.94
24271094,0.78
24271096,0.89
24271098,0.83
24271100,0.83
24271102,0.83
24271104,0.94
24271106,0.83
24271108,0.78
24271110,0.71
24271112,0.71
24271136,0.80
24271138,0.83
24271140,0.82
24271350,1.16
24271390,0.98
24271392,0.79
24271394,0.78
24271412,0.89
24271414,0.83
24271510,1.07
24271554,0.94
24271560,1.06
24537862,0.90
24537878,0.84
24537888,0.78
24537890,0.87
24537892,0.87
24537894,0.88
24537896,0.89
24537898,0.89
24537900,0.89
24537902,0.89
24537904,0.89
24537906,0.89
24537908,0.90
24537910,0.87
24537912,0.89
24537914,0.91
24537916,0.95
24537918,0.96
24537920,0.97
24537922,1.16
24537924,1.28
24537926,1.34
24537928,1.54
24537930,1.55
24537932,1.67
24537934,1.74
24537936,1.28
24537938,1.36
24537940,1.45
24537942,1.46
24537944,1.52
24537946,1.52
24537948,1.57
24537950,1.56
24537952,1.56
24537960,1.74
24537970,1.72
24537972,1.78
24537974,1.82
24537976,1.79
24537978,1.88
24537980,1.86
24537982,1.86
24537996,1.85
24537998,1.88
24538000,1.91
24538002,1.90
24538004,1.91
24538006,1.93
24538008,1.95
24538010,1.99
24538012,1.96
24538014,2.00
24538016,1.98
24538018,2.00
24538020,2.02
24538022,2.01
24538024,2.00
24538026,2.00
24538028,2.00
24538030,2.07
24538032,2.08
24538034,2.10
24538036,2.11
24538038,2.17
24538040,0.79
24538044,0.77
24538046,0.78
24538050,0.82
24538052,0.83
24538054,0.83
24538060,0.83
24538070,0.84
24538072,0.86
24538074,0.87
24538076,0.88
24538078,0.88
24538080,0.88
24538082,0.95
24538088,1.03
24538090,1.02
24538092,0.99
24538094,0.92
24538096,1.00
24538098,0.99
24538100,1.20
24538102,0.82
24538104,0.82
24538106,0.82
24538108,0.83
24538110,0.82
24538112,0.82
24538114,0.82
24538116,0.81
24538118,0.81
24538120,0.76
24538122,0.71
24538124,0.67
24538128,0.78
24538130,0.76
24538132,0.67
24538134,0.63
24538136,1.76
24538138,1.79
24538140,1.82
24538142,1.01
24538144,1.20
24538146,0.98
24538148,1.19
24538150,1.41
24538152,1.12
24538154,1.24
24538156,1.21
24538158,1.66
24538160,1.79
24538164,1.31
24538166,1.36
24538168,0.66
24538170,0.68
24538172,0.68
24538176,0.70
24538186,0.77
24538188,0.78
24538194,0.78
24538226,0.79
24538228,0.79
24538232,0.81
24538238,0.80
24538240,0.81
24538250,0.82
24538252,0.81
24538256,0.81
24538262,0.82
24538266,0.82
24538270,0.82
24538278,0.81
24538292,0.83
24538294,0.83
24538298,0.83
24538302,0.83
24538308,0.84
24538310,0.85
24538318,0.83
24538326,0.85
24538330,0.87
24538334,0.88
24538338,0.84
24538342,0.85
24538354,0.84
24538372,0.88
24538374,0.97
24538396,0.97
24538408,0.90
24538446,1.32
24538470,1.31
24538482,1.14
24538488,1.47
24538490,1.47
24538492,0.91
24538496,0.90
24538506,1.80
24538516,1.33
24538526,1.46
24538534,1.47
24538540,1.86
24538544,1.86
24538562,2.01
24538584,2.18
24538600,2.00
24538604,1.92
24538614,1.97
24538640,0.86
24538642,0.83
24538656,0.84
24538668,0.87
24538670,0.82
24538674,0.89
24538696,1.82
24538724,1.76
24538730,0.85
24538732,0.84
24538734,0.85
24538742,0.85
24538746,0.83
947110002,1.00
947110003,0.98
947110004,1.20
947110005,0.94
947110006,0.99
947110007,0.95
947110144,1.11
947110145,1.09
947110192,0.99
947110193,1.03
947110200,0.82
947110201,0.81
947110204,0.94
947110254,1.20
947110255,1.04
23988977,0.47
23989009,0.70
23989019,0.87
23989021,0.85
23989023,0.81
23989025,0.80
23989027,0.72
23989041,0.94
23989043,0.94
23989045,0.94
23989047,0.92
23989049,0.95
23989073,0.99
23989093,1.32
23989099,1.39
23989101,1.45
23989103,1.47
23989105,1.48
23989107,1.49
23989109,1.49
23989111,1.49
23989139,1.21
23989143,1.18
23989145,1.18
23989147,1.19
23989149,1.20
23989151,1.24
23989517,0.94
23989557,0.68
23989721,1.14
23989727,1.01
23989743,0.43
23989777,0.44
23990029,0.44
23990031,0.44
23990059,0.47
23990163,0.64
23990165,0.74
23990167,0.78
23990169,0.72
23990173,0.74
23990175,0.80
23990179,0.82
23990185,0.91
23990187,0.93
23990189,0.93
23990257,1.03
23990259,1.04
23990261,1.04
23990263,1.03
23990269,1.05
23990277,1.39
23990279,1.46
23990281,1.54
23990283,1.38
23990285,1.45
23990287,1.43
23990289,1.45
23990291,1.45
23990293,1.46
23990295,1.46
23990297,1.54
23990299,1.50
23990301,1.48
23990303,1.52
23990305,1.54
23990311,1.46
23990313,1.46
23990321,1.53
23990323,1.48
23990337,1.40
23990343,1.41
23990353,1.18
23990395,0.90
23990401,1.22
23990445,0.89
23990453,1.01
23990459,1.00
23990481,0.92
23990837,1.40
23990841,1.49
23990843,1.51
23990845,1.45
23990893,1.01
24254963,1.94
24254975,2.17
24255025,1.92
24255067,1.84
24255069,1.85
24255081,1.82
24255087,1.81
24255795,2.03
24257533,1.80
24286830,0.95
24286918,1.15
24286938,1.32
24286940,1.43
24286942,1.65
24286944,1.62
24286946,1.68
24286948,1.68
24286950,1.68
24286952,1.68
24286954,1.70
24286956,1.72
24286958,1.77
24286960,1.84
24286962,1.87
24286964,1.92
24286966,1.84
24286968,1.96
24286970,1.92
24286972,2.01
24286974,1.97
24286976,2.04
24286978,2.01
24286980,2.00
24286982,1.95
24286984,1.94
24286986,1.85
24286988,1.88
24286990,1.97
24286992,2.00
24286994,2.00
24286996,2.00
24286998,2.00
24287000,1.99
24287002,1.98
24287004,1.97
24287006,1.94
24287008,1.92
24287010,1.94
24287012,1.96
24287014,1.96
24287016,1.96
24287018,1.96
24287020,2.00
24287022,2.02
24287024,2.04
24287026,1.91
24287028,2.00
24287030,2.13
24287032,2.17
24287034,2.19
24287036,2.26
24287038,2.33
24287040,2.09
24287042,2.14
24287050,1.27
24287052,1.42
24287054,1.56
24287056,1.78
24287058,1.85
24287060,1.83
24287062,1.84
24287064,1.95
24287066,2.00
24287068,2.18
24287070,2.29
24287072,2.47
24287074,2.54
24287076,2.56
24287078,2.59
24287080,2.72
24287082,2.54
24287084,2.66
24287086,2.74
24287088,2.69
24287090,3.59
24287294,1.11
24287296,1.28
24287298,1.41
24287300,1.47
24287302,1.44
24287304,1.44
24287306,1.48
24287324,0.78
24287326,0.86
24287328,0.91
24287378,1.65
24287380,1.72
24287382,1.74
24287384,1.73
24287386,1.74
24287388,1.73
24287390,1.77
24287480,1.94
24287498,2.18
24287500,2.14
24287504,1.95
24287516,1.93
24287518,2.04
24287520,1.94
24287522,1.95
24287524,1.98
24287546,2.02
24287550,1.40
24287552,1.97
24287554,0.91
24287556,0.92
24287572,0.94
24287576,2.02
24287586,1.00
24287596,2.04
24287598,2.06
24287602,1.90
24287626,2.02
24287628,2.18
24287632,2.14
24287636,2.00
24287638,2.04
24287642,2.05
24287644,1.77
24287646,1.77
24287650,1.75
24287658,2.08
24287660,1.76
24287664,1.90
24287668,1.76
24287670,0.89
24287672,1.76
24287674,2.10
24287676,2.11
24287678,2.16
24287684,2.04
24287688,1.74
24287692,2.18
24287694,2.13
24287704,1.93
24287706,1.94
24287712,1.88
24287714,2.21
24287716,1.93
24287718,1.98
24287720,1.79
24287722,1.70
24287724,1.72
24287726,1.80
24287728,1.83
24287732,2.20
24287734,2.28
24287736,2.30
24287738,1.79
24287742,1.75
24287744,2.35
24287746,1.61
24287748,1.67
24287750,1.94
24287754,1.65
24287756,1.66
24287758,2.08
24287760,2.03
24287762,1.82
24287764,2.32
24287766,1.59
24287768,2.48
24287770,1.45
24287774,2.53
24287776,1.88
24287778,2.48
