FEATUREID,AnAvPpt_in
23838910,92.55
23952584,49.77
23952586,50.36
23952588,49.68
23952590,49.57
23952592,47.52
23952594,47.48
23952596,46.27
23952598,54.08
23952600,49.80
23952602,54.73
23952604,47.97
23952606,47.64
23952608,48.36
23952610,48.76
23952612,56.38
23952614,57.57
23952616,82.25
23952618,60.82
23952620,67.99
23952622,71.84
23952624,72.18
23952626,79.48
23952628,81.58
23952630,86.62
23952632,87.95
23952634,81.35
23952636,85.34
23952638,87.61
23952640,88.87
23952642,90.08
23952644,91.79
23952646,84.69
23952648,86.22
23952650,87.34
23952652,94.13
23952654,87.28
23952656,89.08
23952658,90.92
23952660,92.70
23952662,97.75
23952664,99.42
23952666,103.89
23952668,105.84
23952670,106.21
23952672,83.50
23952674,93.67
23952676,104.67
23952678,86.10
23952680,93.92
23952682,77.49
23952684,78.89
23952686,80.42
23952688,81.23
23952690,82.88
23952692,83.27
23952694,82.49
23952696,85.28
23952698,89.57
23952700,83.38
23952702,99.97
23952704,101.78
23952706,102.00
23952708,104.08
23952710,107.32
23952712,110.10
23952714,120.48
23952716,94.22
23952718,101.64
23952720,117.80
23952722,94.01
23952724,112.14
23952726,112.70
23952728,76.67
23952730,78.30
23952732,106.51
23952734,51.97
23952738,50.88
23952740,50.78
23952742,50.84
23952746,50.35
23952748,55.49
23952750,53.72
23952752,57.09
23952754,50.67
23952756,52.41
23952758,52.84
23952762,49.57
23952766,49.48
23952776,55.43
23952780,84.31
23952786,65.90
23952790,88.57
23952792,100.52
23952794,87.03
23952796,97.77
23952798,85.12
23952800,86.25
23952802,47.22
23952804,92.55
23952806,90.05
23952808,88.22
23952810,79.22
23952812,57.62
23952814,90.47
23952816,87.62
23952820,77.87
23952822,102.91
23952824,80.87
23952826,93.49
23952828,90.79
23952830,104.00
23952832,86.82
23952834,101.83
23952836,85.62
23952838,97.69
23952840,89.44
23952842,105.94
23952844,69.35
23952846,96.92
23952848,91.99
23952850,95.78
23952852,106.85
23952854,104.76
23952856,87.96
23952858,77.49
23952860,88.34
23952862,87.10
23952864,110.94
23952866,87.43
23952868,79.84
23952870,87.94
23952872,90.40
23952874,97.81
23952876,112.33
23952878,87.01
23952880,92.25
23952882,98.96
23952884,86.35
23952886,110.92
23952888,80.27
23952890,62.08
23952892,98.46
23952894,104.64
23952898,97.13
23952900,105.66
23952902,104.23
23952904,97.33
23952906,86.18
23952908,108.17
23952910,112.00
23952912,109.94
23952914,114.58
23952916,108.38
23952918,103.81
23952920,99.43
23952922,100.25
23952924,114.23
23952926,88.03
23952928,89.84
23953857,27.05
23953937,28.84
23954029,28.02
23954039,27.77
23954107,28.42
23954111,34.41
23954137,26.48
23954153,25.42
23955788,41.88
23956094,66.83
23957484,91.80
24534246,29.37
24534248,29.50
24534250,29.56
24534252,29.56
24534254,29.58
24534256,29.77
24534258,29.90
24534260,29.95
24534262,30.07
24534264,30.34
24534266,30.69
24534268,31.83
24534270,33.39
24534272,35.43
24534274,31.00
24534276,33.35
24534278,32.32
24534280,32.27
24534282,32.56
24534284,34.19
24534286,37.72
24534288,38.40
24534290,44.97
24534292,51.02
24534294,41.46
24534296,46.59
24534298,50.75
24534300,52.92
24534302,57.16
24534304,68.05
24534306,77.92
24534308,75.16
24534310,90.19
24534312,76.46
24534314,78.22
24534316,72.91
24534318,64.61
24534320,64.14
24534322,46.42
24534324,50.53
24534326,52.64
24534328,56.85
24534330,55.63
24534332,57.33
24534344,33.94
24534348,44.52
24534350,44.02
24534352,44.84
24534354,41.92
24534356,45.65
24534358,46.63
24534360,49.85
24534362,49.71
24534366,40.96
24534370,42.96
24534372,45.27
24534374,53.68
24534376,58.18
24534378,37.50
24534380,36.73
24534382,36.57
24534384,36.72
24534386,36.79
24534388,36.82
24534390,38.80
24534392,44.87
24534394,52.32
24534396,52.54
24534398,49.28
24534400,46.64
24534402,38.42
24534404,37.64
24534406,38.82
24534408,39.60
24534410,39.92
24534412,44.47
24534424,67.55
24534434,36.60
24534436,36.25
24534438,36.93
